problem,answer,subject,task_group_id,category
"Consider a dielectric block with polarization `\(P\) and internal energy \(U\) which obeys`

`\[ U(T, P) = CT + f(P)\,,\]`where 𝑓(𝑃) is the polarization-dependent part of the internal energy.

where `\(CT\)` is the internal energy of the unpolarized dielectric block, `\(C\)` is the heat capacity of the dielectric block, and `\(T\)` is the absolute temperature. For convenience, any possible volume change of the dielectric block during the polarization process is ignored.

Let `\(p\)` represent the total electric dipole moment generated by the polarization of the dielectric, so that \\(p=PV\\),where V is the volume of the dielectric block. The first law of thermodynamics in a quasi-static process can be correspondingly expressed as

`\(dU = dQ + dW, \quad dQ = TdS, \quad dW = E dp\)`

where `\(S\)` is the entropy of the dielectric block, `\(E\)` is the external electric field applied to the polarized dielectric block, \\(Q\\) is the heat input into dielectric block and \\(W\\) is the work done on the dielectric block by the external electric field.

\\(P\\) is given by

`\(P=\chi(T)\boldsymbol{\epsilon}_0E\,.\)`

It is known that the number density of dipoles in the dielectric block is \\(n\\) and the polarizability of an individual dipole is `\(\alpha\)`.

By considering an infinitesimal Carnot cycle, find an equation for the internal energy `\(U(T, P)\)` of a dielectric that follows the Curie law `\(\alpha = \frac{K}{T}\)` (where `\(K\)` is a constant), in terms of \\(C, T\\).

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",\(U=CT\)',physics,27c865e6-1c87-489b-b7ea-b197fe3356ba,olympiad
"For rising moist air of molar heat capacity `\( c_p \)`, molar latent heat `\( L \)`, molar mass `\( M \)`, the temperature fluctuates with height.

You can assume
`\[ 
\frac{\Delta T}{T} = \frac{1 + \alpha \rho_s}{1 + \beta \rho_s \gamma}\frac{\beta}{\alpha}\rho
 \]`
where `\( \alpha = L/(RT), \beta = L/(c_pT), \rho_s = P_s/P, \rho = \Delta P/P, \)` and `\( \gamma = \frac{TdP_s}{P_sdT} \)`. Here, `\( R,T,P,P_s,\Delta \)` are the universal gas constant, air temperature, air pressure, saturated vapour pressure of water (where `\( P_s  \)` is a monotonic function of `\(T\)`) and the small fluctuation operator respectively.

The Clausius-Clapeyron relation states: `\( \frac{dP_s}{dT} = \frac{L}{T(v_1 - v_2)} \)`, where `\( v_1 \)` and `\( v_2 \)` are the molar volumes of water vapor and liquid water, respectively (with `\( v_2 \ll v_1 \)` ).

Derive an equation for the Temperature Lapse Rate `\( \Delta T/\Delta h \)` in terms of `\( M, g, R, P, \alpha , \beta \)` and `\( \rho_s  \)`.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\[ \frac{\Delta T}{\Delta h} = -\frac{Mg\beta}{R\alpha}\frac{1+\alpha \rho_s}{1+\alpha \beta \rho_s} \]`,physics,0ea11f5b-df09-4330-92cc-302a63c22008,olympiad
"| Parameter | Value |
| --- | --- |
| `\( m_p \)` (proton mass) | `\( 1.67 \times 10^{-27} kg \)` |
| `\( M \)` (solar mass) | `\( 1.989 \times 10^{30} kg \)` |
| `\( R \)` (solar radius) | `\( 6.955 \times 10^8 m \)` |
| `\( G \)` (gravitational constant) | `\( 6.674 \times 10^{-11} N \bullet m^2/kg^2 \)` |
| `\( k \)` (Boltzmann’s constant) | `\( 1.381 \times 10^{-23} J/K \)` |

| `\( m_e \)`(mass of electron) | `\( 9.12 × 10^{-31} kg \)` |

Make use of any relevant values if required for calculation.

We are given that the average pressure of the Sun `\( \langle P \rangle = -\frac{U_g}{3V} \)`, where `\( V \)` is the total volume and `\( U_g \)` is the total gravitational potential energy of the sun. Assume that the mass of the sun is distributed uniformly.

Assuming that the Sun can be regarded as composed of an ideal gas, find the average temperature `\( \langle T \rangle \)` of the Sun in Kelvins supposing that the Sun consists of only equal numbers of protons and electrons. Leave your answer to 3 significant figures.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\( 2.31 \times 10^6 K\)`,physics,bb0539ef-d9fd-4215-bf16-b0eca44a8778,olympiad
"Consider a long straight conducting cylinder with a radius of `\(a\)`, the central axis of the cylinder as the `\(z\)`-axis, and located at `\(x=y=0\)`, placed in a uniform external electric field `\(\overrightarrow{E}_0=E_0 \hat{x}\)`. Apply cylindrical coordinates (where \\(\\theta\\) is measured anticlockwise from the polar axis) to this system where the `\(x\)`-axis is aligned to the polar axis (\\(\\theta = 0\\)). Assume all physical quantities are independent of the `\(z\)` coordinate. If the potential at the conducting cylinder is `\(0\)`, find the electric field distribution `\(E(r,\theta)\)` outside the conductor, in terms of \\(E_0, a, r, \\theta, \\hat{r}, \\hat{\\theta} \\).

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.","\\(\\overrightarrow{E}(r, \\theta) = E_0( 1 + \\frac{a^2}{r^2}) \\cos(\\theta) \\hat{r} - E_0(1-\\frac{a^2}{r^2}) \\sin(\\theta) \\hat{\\theta} \\) ",physics,516da073-8d2a-4db5-a739-c752655ec14c,olympiad
"A horizontal metal rod has density \(\rho\), length \(L\), circular cross-section radius \(r \ll L\), Young's modulus \(Y \gg \rho g L^3 / r^2\) in a gravitational field of strength \(g\). It is fixed at one end to a wall, which provides a constant vertical force and torque. Define coordinates as follows: \(x\) is the distance along the rod from the fixed end at the wall, and \(y\) is the vertical displacement from the fixed point, \(y > 0\) is upwards. Using suitable approximations, find the function \(y(x)\) which represents the rod's vertical displacement along it, expressed in terms of \(\rho, g, Y, r, x\). Also give the angle, \(\alpha < 0\), between the \(x\)-axis and the rod at \(x=L\), in terms of \(\rho, g, L, Y, r\) as a single approximated fraction.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.","\\(y(x) = \\frac{-\\rho g}{6 Y r^2}x^2(x^2-4Lx + 6L^2)\\)

`\( \alpha = \frac{-2\rho g L^3}{3Yr^2} \) `",physics,94c55a69-1e8d-4934-ae59-2cf0401e1b01,olympiad
"Consider a large insulating lattice containing `\(N\gg1\)` atoms. The entire system is placed in a uniform external magnetic field `\(B\)` and is in thermal equilibrium at temperature `\(T\)`. We focus on the quantum mechanical interaction between the magnetic moment of the atoms and the external field.

Suppose the system starts with a temperature `\(T_0\)` and an external field `\(B_0\)`. We gradually reduce the magnetic field to `\(B_1\)` such that it is an adiabatic process. Determine the temperature `\(T_1\)` of the final state.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\(T_1=\frac{B_1}{B_0}T_0\)`,physics,b90fc8dc-2fca-4ff7-9c9f-a2e6a0ac7812,olympiad
"Consider the following system situated in a rotating 2D cartesian coordinate system. The system rotates with an angular velocity `\( {\vec \Omega}=\Omega \hat z \)` about the z-axis. There are two point masses `\( M_1 \)` and `\( M_2 \)` fixed in the rotating frame at `\( (x_1, 0) \)` and `\( (x_2, 0) \)`, respectively. The center of mass of `\( M_1 \)` and `\( M_2 \)`, `\( O \)`, happens to coincide with the origin of the coordinate system. Now, we introduce a third point mass \\( m \\), situated at `\( (x, y) \)`.

Suppose \\(x_1\\) and \\(x_2\\) satisfy the condition `\( x_2 - x_1 = R \)`.

Find the equilibrium point for mass \\(m \\) of the form \\((X,Y) = (x,y) \\) satisfying the condition `\( y > 0 \)`, in terms of \\(M_1, M_2, R \\).

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.","\\( (X,Y) = \\left( \\frac{R}{2} \\frac{M_1 - M_2}{M_1 + M_2}, \\frac{\\sqrt{3}}{2} R \\right) \\) ",physics,cb11faa6-e12a-4621-9fa7-f6f4b11a9300,olympiad
"Consider a ratchet, a device shaped like a disk, but with notches around the edge. The ratchet is prevented from rotating backward by a pawl resting against one of the notches. The pawl is held against the notch by a spring. The ratchet can rotate forward. As it does so, it gradually lifts the pawl and compresses the spring. The pawl continues rising and the spring continues compressing until the ratchet has advanced one notch forward, at which point the pawl falls off the edge of the notch, releasing the elastic energy in the spring. The elastic energy in the spring just before the pawl falls off the edge of a notch is \\(\\epsilon\\), and the elastic energy in the spring just after the pawl falls off the edge of a notch is zero.

The pawl passes to a new notch every time the ratchet rotates forward by some angle \\(\\theta\\). If some influence causes the pawl to rise until the potential energy in the spring is greater than \\(\\epsilon\\), the pawl can rotate backwards.\
\
The ratchet is connected to vanes via an axle. The ratchet, vanes, and axle rotate rigidly. Assume the device is small enough that when the vanes are surrounded by a gas, the impulse generated by the collision of a single gas molecule with the vanes can turn the vanes.

Although the collisions of gas molecules tend to push on the vanes in either direction with equal probability, as long as the spring is not compressed with elastic energy greater than or equal to \\(\\epsilon\\), the pawl only allows the ratchet, and therefore the vanes, to rotate forward.

Next, let's assume the spring of the ratchet is in thermal reservoir 2 at temperature `\( T_2 \)` , while the vanes are in thermal reservoir 1 at temperature `\( T_1 \)` , and the two reservoirs are not in thermal contact, aside from any energy that may flow through the vanes, ratchet, and pawl. Furthermore, a weight is tied to a rope hanging from the middle of the axle, so that as the ratchet turns forward, the weight is lifted against gravity. The weight causes a torque of magnitude `\( L \)` to be exerted on the axle, measured relative to the center of the axle, which is also the axis about which the ratchet, axle, and vanes can rotate. The torque is in the direction that rotates the axle, ratchet, and vanes backwards. Let \( \tau \) be the characteristic time, so that \( 1/\tau \) represents the frequency, or rate, at which energy is added or subtracted. 
\
Suppose that \\(T_1 = T_2 = T\\). Find the long-term average angular velocity \\(\\omega\\) of the ratchet in steady state. \\(\\omega\\) is defined to be positive when the ratchet turns forward. Give your answer in terms of \\( \\theta, \\tau, \\epsilon, T \\) and Boltzmann's constant \\(k_B\\).

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",\omega = \frac{\theta}{\tau} \exp!\left(-\frac{\epsilon}{k_B T}\right)\left[ \exp!\left(-\frac{L \theta}{k_B T}\right) - 1 \right],physics,62dc1c65-0200-41d8-91fd-aa3c606e46cc,olympiad
"Consider the following system situated in a rotating 2D Cartesian coordinate system. The system rotates with an angular velocity `\( {\vec \Omega}=\Omega \hat z \)` about the z-axis. There are two point masses `\( M_1 \)` and `\( M_2 \)` situated at the coordinates `\( (x_1, 0) \)` and `\( (x_2, 0) \)` respectively. The center of mass of `\( M_1 \)` and `\( M_2 \) ,` `\( O \),` happens to coincide with the origin of the coordinate system. Now, we introduce a third point mass \\( m \\), is situated at `\( (x, y) \)`.

Suppose \\(x_1\\) and \\(x_2\\) satisfy the condition `\( x_2 - x_1 = R \)`. For convenience, we introduce the dimensionless constants `\( \alpha=\frac{M_{2}}{M_{1}+M_{2}} \)` and `\( \beta=\frac{M_1}{M_1+M_2} \)` (which might be used later in your calculation).

Find the equilibrium point for mass \\(m \\) of the form \\((X,Y) = (x,0) \\) satisfying the condition `\( x < 0 \)`, in terms of \\(R, \\alpha \\). Keep only terms that include \\( \\alpha^0 \\), \\( \\alpha^1 \\) as part of the expression.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.","`\( \Big(- R\Big[1+\frac{5}{12}\alpha^1\Big],0\Big) \) `",physics,f398c3ad-6cff-45b1-a21d-5ce963db75aa,olympiad
"Consider a cylinder with a radius `\(R\)` and a length `\(L\)`, with a mass of `\(m\)`, in a fluid with a density `\(\rho\)`. At the beginning (`\(t=0\)`), the cylinder is parallel to the `\(y\)`-axis and its center of mass is located at `\(x=z=0\)`, with its center of mass stationary but rotating with an angular velocity `\( \vec{\omega}=-\omega \hat{y}\)`. The entire system is in a uniform gravitational field `\( \vec{g}=-g\hat{z} \)`. Assume that the angular velocity remains constant during the subsequent motion of the cylinder. Ignore dissipative forces and the buoyancy force, but consider the Magnus force \\( \\vec{F}=S(\\vec{v}\\times\\vec{\\omega}) \\), where \\( S=2\\pi R^2L\\rho \\) and \\( \\vec{v} \\) is the velocity of the center of mass. Solve for the trajectory function `\(x(z)\)` as a function of \\( z \\), \\( \\omega \\), \\( g \\), and the constant \\( k = \\frac{S}{m} \\).

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.","\\\[ x(z) = -\\sqrt{ -z\\left( \\frac{2g}{k^2\\omega^2} + z \\right) }\\, +\\, \\frac{g}{k^2 \\omega^2} \\arccos\\left(1 + \\frac{z\\, k^2 \\omega^2}{g}\\right) \\\] ",physics,f10254b9-f0a1-407f-8af9-3169e23eee5e,olympiad
